mal_id,title,title_japanese,url,image_url,type,status,score,scored_by,start_date,end_date,synopsis,rank,popularity,members,favorites,genres,studios,themes,demographics,source,rating,episodes,season,year,producers,explicit_genres,licensors,streaming
58985,0-saiji Start Dash Monogatari,0歳児スタートダッシュ物語,https://myanimelist.net/anime/58985/0-saiji_Start_Dash_Monogatari,https://cdn.myanimelist.net/images/anime/1973/144062.jpg,TV,Finished Airing,5.43,2530.0,2024-07-07 00:00:00+00:00,2024-09-22T00:00:00+00:00,"A woman in her thirties, who is enthusiastic about games, is reincarnated in another world. Born into the noble Carol family as Lilia, she could not be happier when she finds out that this world hosts magic. Despite being an infant, she quickly learns different skills and magic by using her gaming knowledge and memories from her previous life. To make the most of her new life, Lilia sets her sights on becoming a strong adventurer!

[Written by MAL Rewrite]",12703.0,6424,12263,24,"['Adventure', 'Fantasy']",[],"['Isekai', 'Reincarnation']",[],Manga,PG-13 - Teens 13 or older,12.0,Summer,2024.0,[],[],[],[]
60425,0-saiji Start Dash Monogatari Season 2,0歳児スタートダッシュ物語 シーズン2,https://myanimelist.net/anime/60425/0-saiji_Start_Dash_Monogatari_Season_2,https://cdn.myanimelist.net/images/anime/1635/148561.jpg,TV,Finished Airing,5.63,1080.0,2025-01-05 00:00:00+00:00,2025-03-23T00:00:00+00:00,"After reincarnating from her previous life as an office worker and avid gamer, Lilia Carol grew and gained friends in her new world. During her fifth birthday, she met the handsome Elk von Luxel, who left her entranced. She normally has no issue maintaining her composure, but his presence manages to distract Lilia from her usual magic practice. As their paths continue to cross, a friendship blooms between them.

[Written by MAL Rewrite]",12053.0,9660,4376,10,"['Adventure', 'Fantasy']",[],"['Isekai', 'Reincarnation']",[],Manga,PG-13 - Teens 13 or older,12.0,Winter,2025.0,[],[],[],[]
41380,100-man no Inochi no Ue ni Ore wa Tatteiru,100万の命の上に俺は立っている,https://myanimelist.net/anime/41380/100-man_no_Inochi_no_Ue_ni_Ore_wa_Tatteiru,https://cdn.myanimelist.net/images/anime/1506/117717.jpg,TV,Finished Airing,6.52,161906.0,2020-10-02 00:00:00+00:00,2020-12-18T00:00:00+00:00,"Yuusuke Yotsuya has always disliked Tokyo, but he especially hates the people who live in it. He would rather thrive in a virtual world than try to get along with those around him. At the end of one school day, he sees the popular athlete Iu Shindou talking to Kusue Hakozaki, who spends less time in school due to illness. But when he looks away from the two and back again, they have seemingly disappeared.

Mere moments later, Yotsuya enters a state of free-fall, and the world begins to change around him. Dropping into a large pool of water, the first thing he sees when he comes to his senses is an assortment of enormous monsters. He soon finds out that he has been brought into a game world by Shindou and Hakozaki and that he must complete a quest within 14 days.

There is one thing that separates this world from the real world: anyone who dies will be brought back to life in 30 seconds as long as one party member is alive. Tasked with numerous quests that increase in difficulty over time, Yotsuya, Shindou, and Hakozaki attempt to discover the mystery behind the perplexing game world.

[Written by MAL Rewrite]",7107.0,826,324016,701,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Maho Film'],['Isekai'],['Shounen'],Manga,PG-13 - Teens 13 or older,12.0,Fall,2020.0,"['Lantis', 'Warner Bros. Japan']",[],['Crunchyroll'],"['Crunchyroll', 'Netflix']"
44881,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,100万の命の上に俺は立っている,https://myanimelist.net/anime/44881/100-man_no_Inochi_no_Ue_ni_Ore_wa_Tatteiru_2nd_Season,https://cdn.myanimelist.net/images/anime/1424/117718.jpg,TV,Finished Airing,6.79,85676.0,2021-07-10 00:00:00+00:00,2021-09-25T00:00:00+00:00,"Once again, the Game Master's world of quests unexpectedly pulls in Yuusuke Yotsuya and the rest of this old team. Accompanied by the newest addition, Keita Torii, the team reunites with Kahabell, still unaware of their actions' impact on this world. 

After bidding Kahabell farewell, the team sets out on their newly appointed quest—an offering of a Jiffon Buffalo at Vaikdamnia on Jiffon Island. However, as their journey to the island commences, the team shortly finds that the quest is not as simple as it initially seemed.

In fact, the island is terrorized by orcs that have made a deal with its inhabitants: instead of devouring the islanders, the orcs will be granted buffalo. With the growing shortage of buffalo, the annual Vaikdamnia festival cannot proceed. But, given the importance of the team's quest, they are left with the obvious choice—rid the island of the orcs and save the islanders.

[Written by MAL Rewrite]",5509.0,1453,182088,640,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Maho Film'],['Isekai'],['Shounen'],Manga,PG-13 - Teens 13 or older,12.0,Summer,2021.0,['Warner Bros. Japan'],[],[],"['Crunchyroll', 'Ani-One Asia', 'Aniplus TV', 'Laftel', 'iQIYI']"
48976,100-man no Inochi no Ue ni Ore wa Tatteiru Recap,100万の命の上に俺は立っている,https://myanimelist.net/anime/48976/100-man_no_Inochi_no_Ue_ni_Ore_wa_Tatteiru_Recap,https://cdn.myanimelist.net/images/anime/1453/122534.jpg,TV Special,Finished Airing,6.28,1306.0,2021-07-02 00:00:00+00:00,,Recap of the first season of 100-man no Inochi no Ue ni Ore wa Tatteiru airing before second season.,8588.0,10198,3696,4,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Maho Film'],['Isekai'],['Shounen'],Manga,PG-13 - Teens 13 or older,1.0,Summer,,[],[],[],[]
306,Abenobashi Mahou☆Shoutengai,アベノ橋魔法☆商店街,https://myanimelist.net/anime/306/Abenobashi_Mahou☆Shoutengai,https://cdn.myanimelist.net/images/anime/1350/113655.jpg,TV,Finished Airing,7.21,36152.0,2002-04-04 00:00:00+00:00,2002-06-27T00:00:00+00:00,"Satoshi ""Sasshi"" Imamiya believes his life is in shambles, as only a 12-year-old can. Having lost his card collection, his childish dilemmas worsen when he learns that his childhood friend, Arumi Asahina, will be moving away.

Suddenly, their issues are dashed aside for the surreal, and they find themselves transported away through bizarre worlds of science fiction, magic, and war. Any attempt to escape only catapults them into another alien land. Soon, the two come to a realization: every world is just a reimagining of their hometown. But there are two unfamiliar faces—the voluptuous Mune-mune and the elusive blue-haired Eutus—and they just might be the key to escaping their predicament.

Abenobashi Mahou☆Shoutengai follows Sasshi and Arumi's comedic exploits as they desperately attempt to return home. However, when the pair unravel a tale spanning generations, they begin to wonder if the cause of their situation is more personal than they thought. Is returning home truly what they desire?

[Written by MAL Rewrite]",3376.0,2364,96358,380,"['Award Winning', 'Comedy', 'Fantasy', 'Ecchi']",['Madhouse'],"['Isekai', 'Parody']",[],Original,R+ - Mild Nudity,13.0,Spring,2002.0,"['Gainax', 'Dentsu', 'Starchild Records', 'Imagica', 'Rakuonsha', 'King Records']",[],"['ADV Films', 'Sentai Filmworks']",['HIDIVE']
54837,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,悪役令嬢レベル99 ～私は裏ボスですが魔王ではありません～,https://myanimelist.net/anime/54837/Akuyaku_Reijou_Level_99__Watashi_wa_Ura-Boss_desu_ga_Maou_dewa_Arimasen,https://cdn.myanimelist.net/images/anime/1150/140028.jpg,TV,Finished Airing,7.13,100623.0,2024-01-09 00:00:00+00:00,2024-03-26T00:00:00+00:00,"The beginning of Light Magic and the Hero, an otome RPG, unfolds fairly normally: the heroine, Alicia Ehnleit, meets her three love interests one after another and then inevitably comes face-to-face with the villainess. Yumiella Dolkness may be of noble descent, but her dark hair and rare dark-type magic—both associated with the Demon Lord—spark fear in anyone who sees her. When she is five years old, Yumiella regains memories of her previous life in modern Japan, also realizing that her fate is to become the hidden boss that appears after Alicia and her suitors defeat the Demon Lord.

Yumiella refuses to live as the game dictates and, as she prefers the game's fantasy elements over its romance, she decides to cultivate her magical skills and level up in secret. However, everything falls apart on the day of the Royal Academy's entrance ceremony. Yumiella's powers are measured at level 99—something thought impossible even for the royal knights, let alone a 15-year-old girl. With the royal family requesting her help, and everyone else insisting that she prove her strength, Yumiella realizes that her dream of a quiet life is no longer an option.

[Written by MAL Rewrite]",3872.0,1385,192376,915,['Fantasy'],['Jumondou'],"['Isekai', 'School', 'Villainess']",[],Light novel,PG-13 - Teens 13 or older,12.0,Winter,2024.0,"['AT-X', 'Tokyo MX', 'BS11', 'Kadokawa']",[],['Crunchyroll'],"['Crunchyroll', 'Aniplus Asia', 'Bahamut Anime Crazy', 'Bilibili Global']"
49979,Akuyaku Reijou nanode Last Boss wo Kattemimashita,悪役令嬢なのでラスボスを飼ってみました,https://myanimelist.net/anime/49979/Akuyaku_Reijou_nanode_Last_Boss_wo_Kattemimashita,https://cdn.myanimelist.net/images/anime/1648/126110.jpg,TV,Finished Airing,7.2,100307.0,2022-10-01 00:00:00+00:00,2022-12-17T00:00:00+00:00,"Aileen Lauren Dautriche's life changes forever on the day her engagement with the crown prince Cedric Jeanne Elmir is nullified so he can be together with Lilia Rainworth. The event triggers Aileen's memories from her past life—she has been reincarnated in an otome game as the villainess, who is destined to die in the final act. To prevent her predetermined demise, Aileen has only one option: to court the game's last boss, Claude Jeanne Elmir—the proclaimed ""Demon King"" and Cedric's half-brother—and marry him.

However, it is easier said than done, as Claude distrusts her intentions. Instead of giving up, Aileen adamantly tries to win his heart by helping Claude fulfill his wish: to build peace between humankind and demonic beasts. But time is running out, and it is up to Aileen to change the course of not only her tragic ending but Claude's as well.

[Written by MAL Rewrite]",3448.0,1289,207649,1149,"['Comedy', 'Fantasy', 'Romance']",['Maho Film'],"['Isekai', 'Villainess']",['Shoujo'],Light novel,PG-13 - Teens 13 or older,12.0,Fall,2022.0,"['WOWOW', 'Mainichi Broadcasting System', 'Tokyo MX', 'bilibili', 'Kadokawa', 'Bit grooove promotion', 'NetEase', 'ADK Marketing Solutions']",[],['Crunchyroll'],"['Crunchyroll', 'Ani-One Asia', 'Bahamut Anime Crazy', 'Bilibili', 'Bilibili Global', 'CatchPlay', 'Laftel', 'MeWatch']"
53085,Akuyaku Reijou nanode Last Boss wo Kattemimashita Mini,悪役令嬢なのでラスボスを飼ってみました ミニ,https://myanimelist.net/anime/53085/Akuyaku_Reijou_nanode_Last_Boss_wo_Kattemimashita_Mini,https://cdn.myanimelist.net/images/anime/1320/128108.jpg,ONA,Finished Airing,5.73,526.0,2022-09-17 00:00:00+00:00,2022-12-19T00:00:00+00:00,Akuyaku Reijou nanode Last Boss wo Kattemimashita chibi anime released on the official Twitter account.,11575.0,12342,1985,1,"['Comedy', 'Fantasy']",['AQUA ARIS'],"['Isekai', 'Reincarnation']",['Shoujo'],Light novel,PG-13 - Teens 13 or older,27.0,Fall,,[],[],[],[]
57719,Akuyaku Reijou Tensei Ojisan,悪役令嬢転生おじさん,https://myanimelist.net/anime/57719/Akuyaku_Reijou_Tensei_Ojisan,https://cdn.myanimelist.net/images/anime/1255/146484.jpg,TV,Finished Airing,7.37,40950.0,2025-01-10 00:00:00+00:00,2025-03-28T00:00:00+00:00,"Although Kenzaburou Tondabayashi is a 52-year-old bureaucrat, he is well versed in reincarnation stories where a protagonist suddenly awakens in a fantasy world. After being hit by a truck, Kenzaburou lands in that exact situation. However, what baffles him is the fact he wound up in the world of an otome game—as the young villainess and the daughter of a duke, Grace Auvergne.

Fortunately for Kenzaburou, he is somewhat familiar with his new world, as it is based on the game called Magical Academy: Love &amp; Beast. He was a proud father in his previous life, and he often listened to his daughter rave about the game's setting and characters. Armed with background knowledge and a lifetime's worth of dad skills, Kenzaburou strives to make the most of his new life, though his kind-hearted nature makes it difficult to fully embrace the role of a villainess.

[Written by MAL Rewrite]",2577.0,2472,89590,292,"['Comedy', 'Fantasy']",['Ajia-do'],"['Isekai', 'School', 'Villainess']",['Seinen'],Manga,PG-13 - Teens 13 or older,12.0,Winter,2025.0,"['Marvelous Entertainment', 'Mainichi Broadcasting System', 'Nikkatsu', 'Shounen Gahousha', 'FuRyu', 'AQUA ARIS']",[],['Sentai Filmworks'],"['HIDIVE', 'Anime Digital Network', 'Bahamut Anime Crazy', 'Bilibili Global', 'Laftel']"
